symbol,fundingTime,fundingRate,markPrice
BTCUSD_PERP,1691740800000,0.00010000,
BTCUSD_PERP,1691769600000,0.00010000,
BTCUSD_PERP,1691798400000,0.00010000,
BTCUSD_PERP,1691827200000,0.00010000,
BTCUSD_PERP,1691856000000,0.00010000,
BTCUSD_PERP,1691884800000,0.00010000,
BTCUSD_PERP,1691913600000,0.00010000,
BTCUSD_PERP,1691942400000,0.00010000,
BTCUSD_PERP,1691971200000,0.00010000,
BTCUSD_PERP,1692000000000,0.00010000,
BTCUSD_PERP,1692028800000,0.00010000,
BTCUSD_PERP,1692057600000,0.00010000,
BTCUSD_PERP,1692086400000,0.00010000,
BTCUSD_PERP,1692115200000,0.00010000,
BTCUSD_PERP,1692144000000,0.00010000,
BTCUSD_PERP,1692172800000,0.00010000,
BTCUSD_PERP,1692201600001,0.00010000,
BTCUSD_PERP,1692230400000,0.00010000,
BTCUSD_PERP,1692259200000,0.00010000,
BTCUSD_PERP,1692288000000,0.00010000,
BTCUSD_PERP,1692316800000,-0.00096966,
BTCUSD_PERP,1692345600000,0.00004443,
BTCUSD_PERP,1692374400000,0.00010000,
BTCUSD_PERP,1692403200000,0.00006668,
BTCUSD_PERP,1692432000000,-0.00000760,
BTCUSD_PERP,1692460800000,-0.00001192,
BTCUSD_PERP,1692489600000,-0.00004793,
BTCUSD_PERP,1692518400001,-0.00010623,
BTCUSD_PERP,1692547200000,-0.00003308,
BTCUSD_PERP,1692576000000,0.00000457,
BTCUSD_PERP,1692604800000,0.00006341,
BTCUSD_PERP,1692633600001,-0.00000249,
BTCUSD_PERP,1692662400001,0.00003137,
BTCUSD_PERP,1692691200000,0.00008073,
BTCUSD_PERP,1692720000000,0.00007073,
BTCUSD_PERP,1692748800000,0.00009000,
BTCUSD_PERP,1692777600000,0.00000749,
BTCUSD_PERP,1692806400000,0.00005847,
BTCUSD_PERP,1692835200001,-0.00003668,
BTCUSD_PERP,1692864000000,-0.00005326,
BTCUSD_PERP,1692892800000,0.00010000,
BTCUSD_PERP,1692921600000,-0.00002307,
BTCUSD_PERP,1692950400000,0.00003707,
BTCUSD_PERP,1692979200000,0.00010000,
BTCUSD_PERP,1693008000000,-0.00000432,
BTCUSD_PERP,1693036800000,0.00008387,
BTCUSD_PERP,1693065600000,0.00010000,
BTCUSD_PERP,1693094400000,0.00008332,
BTCUSD_PERP,1693123200000,-0.00003373,
BTCUSD_PERP,1693152000000,0.00004281,
BTCUSD_PERP,1693180800000,-0.00003056,
BTCUSD_PERP,1693209600000,-0.00001044,
BTCUSD_PERP,1693238400000,0.00009027,
BTCUSD_PERP,1693267200000,0.00002547,
BTCUSD_PERP,1693296000001,0.00009226,
BTCUSD_PERP,1693324800000,-0.00016528,
BTCUSD_PERP,1693353600000,-0.00002931,
BTCUSD_PERP,1693382400000,0.00001648,
BTCUSD_PERP,1693411200000,0.00001492,
BTCUSD_PERP,1693440000000,-0.00002281,
BTCUSD_PERP,1693468800000,0.00009921,
BTCUSD_PERP,1693497600000,0.00003750,
BTCUSD_PERP,1693526400000,-0.00004875,
BTCUSD_PERP,1693555200000,0.00004789,
BTCUSD_PERP,1693584000000,0.00010000,
BTCUSD_PERP,1693612800000,0.00010000,
BTCUSD_PERP,1693641600000,0.00001601,
BTCUSD_PERP,1693670400000,-0.00007261,
BTCUSD_PERP,1693699200000,-0.00001218,
BTCUSD_PERP,1693728000000,-0.00006589,
BTCUSD_PERP,1693756800000,0.00007035,
BTCUSD_PERP,1693785600000,0.00007017,
BTCUSD_PERP,1693814400000,0.00010000,
BTCUSD_PERP,1693843200000,0.00005287,
BTCUSD_PERP,1693872000000,0.00004775,
BTCUSD_PERP,1693900800001,0.00010000,
BTCUSD_PERP,1693929600001,0.00010000,
BTCUSD_PERP,1693958400000,0.00004001,
BTCUSD_PERP,1693987200001,0.00009174,
BTCUSD_PERP,1694016000000,0.00003539,
BTCUSD_PERP,1694044800000,0.00009639,
BTCUSD_PERP,1694073600000,0.00001095,
BTCUSD_PERP,1694102400000,0.00009302,
BTCUSD_PERP,1694131200000,-0.00004082,
BTCUSD_PERP,1694160000000,0.00001334,
BTCUSD_PERP,1694188800000,-0.00001874,
BTCUSD_PERP,1694217600000,-0.00007198,
BTCUSD_PERP,1694246400000,0.00001294,
BTCUSD_PERP,1694275200000,0.00000803,
BTCUSD_PERP,1694304000000,0.00000057,
BTCUSD_PERP,1694332800000,-0.00003751,
BTCUSD_PERP,1694361600000,0.00009153,
BTCUSD_PERP,1694390400000,0.00004826,
BTCUSD_PERP,1694419200000,0.00005422,
BTCUSD_PERP,1694448000000,0.00004498,
BTCUSD_PERP,1694476800000,-0.00001315,
BTCUSD_PERP,1694505600000,-0.00000692,
BTCUSD_PERP,1694534400000,-0.00004276,
BTCUSD_PERP,1694563200000,-0.00000560,
BTCUSD_PERP,1694592000000,0.00004186,
BTCUSD_PERP,1694620800000,-0.00002775,
BTCUSD_PERP,1694649600000,-0.00009967,
BTCUSD_PERP,1694678400000,0.00002333,
BTCUSD_PERP,1694707200000,-0.00008351,
BTCUSD_PERP,1694736000000,-0.00005562,
BTCUSD_PERP,1694764800000,-0.00004037,
BTCUSD_PERP,1694793600000,0.00005262,
BTCUSD_PERP,1694822400000,-0.00000606,
BTCUSD_PERP,1694851200000,-0.00003779,
BTCUSD_PERP,1694880000000,-0.00006127,
BTCUSD_PERP,1694908800000,-0.00010383,
BTCUSD_PERP,1694937600000,-0.00008842,
BTCUSD_PERP,1694966400000,-0.00006427,
BTCUSD_PERP,1694995200000,-0.00000207,
BTCUSD_PERP,1695024000000,0.00002077,
BTCUSD_PERP,1695052800001,0.00003575,
BTCUSD_PERP,1695081600000,-0.00001227,
BTCUSD_PERP,1695110400000,-0.00013685,
BTCUSD_PERP,1695139200000,0.00010000,
BTCUSD_PERP,1695168000001,-0.00003128,
BTCUSD_PERP,1695196800000,0.00000668,
BTCUSD_PERP,1695225600000,0.00006088,
BTCUSD_PERP,1695254400001,0.00002392,
BTCUSD_PERP,1695283200000,-0.00000320,
BTCUSD_PERP,1695312000000,0.00010000,
BTCUSD_PERP,1695340800000,-0.00006227,
BTCUSD_PERP,1695369600000,0.00005581,
BTCUSD_PERP,1695398400000,0.00009401,
BTCUSD_PERP,1695427200000,0.00008335,
BTCUSD_PERP,1695456000000,0.00002418,
BTCUSD_PERP,1695484800000,0.00000530,
BTCUSD_PERP,1695513600000,0.00003547,
BTCUSD_PERP,1695542400000,0.00002692,
BTCUSD_PERP,1695571200000,0.00003981,
BTCUSD_PERP,1695600000000,-0.00004121,
BTCUSD_PERP,1695628800000,0.00010000,
BTCUSD_PERP,1695657600000,0.00010000,
BTCUSD_PERP,1695686400000,0.00001517,
BTCUSD_PERP,1695715200001,0.00007387,
BTCUSD_PERP,1695744000000,0.00010000,
BTCUSD_PERP,1695772800000,0.00010000,
BTCUSD_PERP,1695801600000,0.00010000,
BTCUSD_PERP,1695830400000,0.00010000,
BTCUSD_PERP,1695859200000,0.00010000,
BTCUSD_PERP,1695888000000,0.00010000,
BTCUSD_PERP,1695916800000,0.00005500,
BTCUSD_PERP,1695945600000,0.00001308,
BTCUSD_PERP,1695974400000,0.00010000,
BTCUSD_PERP,1696003200000,0.00007436,
BTCUSD_PERP,1696032000000,0.00004072,
BTCUSD_PERP,1696060800000,-0.00002973,
BTCUSD_PERP,1696089600000,-0.00002769,
BTCUSD_PERP,1696118400000,-0.00007964,
BTCUSD_PERP,1696147200001,-0.00002430,
BTCUSD_PERP,1696176000000,0.00003405,
BTCUSD_PERP,1696204800000,0.00010000,
BTCUSD_PERP,1696233600000,-0.00000508,
BTCUSD_PERP,1696262400000,-0.00014760,
BTCUSD_PERP,1696291200000,0.00009370,
BTCUSD_PERP,1696320000000,0.00007806,
BTCUSD_PERP,1696348800000,0.00005313,
BTCUSD_PERP,1696377600000,0.00004671,
BTCUSD_PERP,1696406400000,0.00004291,
BTCUSD_PERP,1696435200000,0.00007950,
BTCUSD_PERP,1696464000000,-0.00005494,
BTCUSD_PERP,1696492800000,-0.00004463,
BTCUSD_PERP,1696521600000,-0.00014373,
BTCUSD_PERP,1696550400000,-0.00001116,
BTCUSD_PERP,1696579200001,-0.00006170,
BTCUSD_PERP,1696608000000,-0.00010172,
BTCUSD_PERP,1696636800001,-0.00002043,
BTCUSD_PERP,1696665600000,-0.00007109,
BTCUSD_PERP,1696694400001,0.00003553,
BTCUSD_PERP,1696723200000,-0.00000052,
BTCUSD_PERP,1696752000000,0.00000412,
BTCUSD_PERP,1696780800000,0.00002711,
BTCUSD_PERP,1696809600000,0.00000697,
BTCUSD_PERP,1696838400001,0.00010000,
BTCUSD_PERP,1696867200000,0.00010000,
BTCUSD_PERP,1696896000000,0.00010000,
BTCUSD_PERP,1696924800000,0.00010000,
BTCUSD_PERP,1696953600000,0.00010000,
BTCUSD_PERP,1696982400000,0.00010000,
BTCUSD_PERP,1697011200000,-0.00001324,
BTCUSD_PERP,1697040000001,0.00010000,
BTCUSD_PERP,1697068800001,0.00010000,
BTCUSD_PERP,1697097600000,0.00006238,
BTCUSD_PERP,1697126400000,0.00010000,
BTCUSD_PERP,1697155200001,0.00007129,
BTCUSD_PERP,1697184000000,0.00010000,
BTCUSD_PERP,1697212800000,0.00008674,
BTCUSD_PERP,1697241600000,-0.00000102,
BTCUSD_PERP,1697270400001,0.00005028,
BTCUSD_PERP,1697299200000,0.00005267,
BTCUSD_PERP,1697328000000,-0.00004398,
BTCUSD_PERP,1697356800000,0.00000912,
BTCUSD_PERP,1697385600000,0.00003488,
BTCUSD_PERP,1697414400000,-0.00002361,
BTCUSD_PERP,1697443200000,-0.00002925,
BTCUSD_PERP,1697472000000,0.00007672,
BTCUSD_PERP,1697500800000,-0.00005227,
BTCUSD_PERP,1697529600000,-0.00006473,
BTCUSD_PERP,1697558400000,-0.00012130,
BTCUSD_PERP,1697587200000,-0.00010255,
BTCUSD_PERP,1697616000000,0.00003329,
BTCUSD_PERP,1697644800000,-0.00000874,
BTCUSD_PERP,1697673600000,-0.00010335,
BTCUSD_PERP,1697702400000,-0.00007604,
BTCUSD_PERP,1697731200000,-0.00010663,
BTCUSD_PERP,1697760000000,-0.00010057,
BTCUSD_PERP,1697788800004,-0.00000444,
BTCUSD_PERP,1697817600000,0.00004040,
BTCUSD_PERP,1697846400000,-0.00004060,
BTCUSD_PERP,1697875200000,0.00004589,
BTCUSD_PERP,1697904000000,0.00002827,
BTCUSD_PERP,1697932800000,0.00001501,
BTCUSD_PERP,1697961600000,0.00005591,
BTCUSD_PERP,1697990400000,0.00007488,
BTCUSD_PERP,1698019200000,0.00010000,
BTCUSD_PERP,1698048000000,0.00010000,
BTCUSD_PERP,1698076800000,0.00001933,
BTCUSD_PERP,1698105600000,0.00010000,
BTCUSD_PERP,1698134400000,0.00010000,
BTCUSD_PERP,1698163200000,0.00010000,
BTCUSD_PERP,1698192000000,0.00010000,
BTCUSD_PERP,1698220800000,0.00010000,
BTCUSD_PERP,1698249600000,0.00010000,
BTCUSD_PERP,1698278400000,0.00010000,
